date	close
17-Mar-01	1
22-Jun-11	4
02-Jun-00	1
09-Apr-12	2
18-Mar-01	5
10-Mar-12	2
13-Mar-09	9
12-Mar-09	7
24-Feb-13	3
22-Feb-13	3
22-Oct-13	3
21-Oct-13	1
27-Jul-11	2
29-Jul-11	2
28-Jul-11	7
12-Nov-13	1
02-Sep-13	1
19-Jan-14	18
24-Nov-11	1
30-May-04	2
23-Nov-11	4
03-Sep-13	2
04-Sep-13	2
19-Jun-10	2
26-Mar-14	6
22-Nov-11	1
29-May-04	2
27-May-02	2
26-May-02	1
25-May-02	2
14-Jun-10	3
20-Jan-14	222
21-Jan-14	43
15-Jun-10	2
16-May-11	1
14-May-11	1
15-May-11	3
23-Aug-12	2
22-Aug-12	2
24-Aug-12	2
22-Mar-01	3
23-Mar-01	1
03-Oct-00	2
02-Oct-00	3
04-Oct-00	1
24-Mar-01	2
20-Mar-07	2
30-Aug-01	1
31-Aug-01	4
22-Mar-07	2
16-Jan-00	3
17-Jan-00	1
22-Feb-12	1
21-Feb-12	3
20-Feb-12	1
12-Nov-12	3
22-Feb-09	3
21-Feb-09	4
11-Nov-12	1
15-Jan-00	2
07-Apr-05	1
06-Apr-05	7
08-Sep-12	4
23-Jun-09	3
22-Jun-09	4
21-Jun-09	11
20-Jun-09	5
19-Dec-10	1
18-Dec-10	2
18-Feb-09	2
19-Feb-09	6
02-Sep-01	2
01-Sep-01	4
24-Sep-05	1
25-Sep-05	3
26-Sep-05	2
15-May-09	1
23-Feb-09	5
17-May-09	2
16-May-09	3
21-Jun-10	8
20-Jun-10	2
22-Jun-10	5
14-Mar-09	3
19-Jun-09	1
20-Feb-09	2
23-Jun-12	2
22-Jun-12	5
20-Jun-12	8
16-Jun-01	1
14-Jun-01	1
15-Jun-01	3
18-Dec-13	3
21-Jun-11	5
12-Apr-07	1
15-Dec-13	1
16-Dec-13	9
05-Feb-12	1
22-Jun-13	4
20-Jun-13	4
21-Jun-13	4
07-Sep-12	1
13-Nov-13	4
17-May-03	2
21-Jun-12	9
01-Jun-00	3
19-May-03	3
18-May-03	1
05-Apr-05	1
12-Aug-09	1
05-Mar-10	2
17-Dec-13	6
31-May-04	2
19-Mar-07	3
18-Mar-07	1
21-Mar-07	3
31-May-00	1
30-Jun-13	1
04-Oct-10	2
02-Oct-10	1
03-Oct-10	3
07-Feb-13	1
08-Feb-13	2
09-Feb-13	2
10-Apr-07	1
11-Apr-07	4
10-Apr-12	3
11-Apr-12	1
08-Mar-12	4
09-Mar-12	3
08-Mar-09	1
09-Mar-09	3
08-Apr-05	3
07-Mar-09	1
07-Mar-12	1
20-Jun-11	3
18-Aug-00	3
15-Aug-00	3
17-Aug-00	2
16-Aug-00	4
